1,Dave Winfield,1st,435,84.5%,148,56,22,63.8,37.7,50.8,58.1,2973,11003,1669,3110,465,1833,223,1216,.283,.353,.475,.827,130,,,,,,,,,,,,,,*9*7*D8/35
2,Kirby Puckett,1st,423,82.1%,160,39,12,50.9,37.5,44.2,57.2,1783,7244,1071,2304,207,1085,134,450,.318,.360,.477,.837,124,,,,,,,,,,,,,,*89D/7456
3,Gary Carter HOF,4th,334,64.9%,135,41,19,69.9,48.2,59.1,43.1,2296,7971,1025,2092,324,1225,39,848,.262,.335,.439,.773,115,,,,,,,,,,,,,,*293/75
4,Jim Rice HOF,7th,298,57.9%,146,43,16,47.4,36.2,41.8,53.3,2089,8225,1249,2452,382,1451,58,670,.298,.352,.502,.854,128,,,,,,,,,,,,,,*7*D9/8
5,Bruce Sutter HOF,8th,245,47.6%,79,17,12,24.6,24.6,24.6,34.4,661,102,6,9,0,6,1,7,.088,.153,.088,.241,-33,68,71,2.83,136,1.140,661,0,300,1042.0,879,77,309,861,*1
6,Rich Gossage HOF,2nd,228,44.3%,109,19,22,42.0,32.0,37.0,34.4,1003,85,1,9,0,2,0,4,.106,.146,.118,.264,-25,124,107,3.01,126,1.232,1002,37,310,1809.1,1497,119,732,1502,*1/D
7,Steve Garvey,9th,176,34.2%,130,32,19,37.7,28.6,33.1,54.2,2332,8835,1143,2599,272,1308,83,479,.294,.329,.446,.775,117,,,,,,,,,,,,,,*35/749
8,Tommy John,7th,146,28.3%,112,44,26,62.0,34.7,48.4,62.1,761,900,43,141,5,54,0,33,.157,.187,.188,.375,7,288,231,3.34,111,1.283,760,700,3,4710.1,4783,302,1259,2245,*1
9,Don Mattingly,1st,145,28.2%,134,34,14,42.2,35.6,38.9,54.2,1785,7003,1007,2153,222,1099,14,588,.307,.358,.471,.830,127,,,,,,,,,,,,,,*3D97/548
10,Jim Kaat,13th,135,26.2%,130,44,25,51.4,38.4,44.9,62.1,1004,1251,117,232,16,106,5,63,.185,.227,.267,.494,37,283,237,3.45,108,1.259,898,625,17,4530.1,4620,395,1083,2461,*1/D
11,Bert Blyleven HOF,4th,121,23.5%,120,50,22,95.3,50.7,73.0,62.1,699,451,19,59,0,25,0,5,.131,.144,.146,.290,-19,287,250,3.31,118,1.198,692,685,0,4970.0,4632,430,1322,3701,*1
12,Jack Morris,2nd,101,19.6%,122,39,18,44.1,32.8,38.4,62.1,568,1,4,0,0,0,0,0,.000,.000,.000,.000,-100,254,186,3.90,105,1.296,549,527,0,3824.0,3567,389,1390,2478,*1/D
13,Dale Murphy,3rd,93,18.1%,116,34,18,46.2,41.0,43.6,57.2,2180,7960,1197,2111,398,1266,161,986,.265,.346,.469,.815,121,,,,,,,,,,,,,,*8*9372
14,Dave Parker,5th,84,16.3%,124,42,19,39.9,37.2,38.6,58.1,2466,9358,1272,2712,339,1493,154,683,.290,.339,.471,.810,121,,,,,,,,,,,,,,*9*D78/34
15,Dave Concepcion,8th,74,14.4%,106,29,19,39.8,29.7,34.8,54.7,2488,8723,993,2326,101,950,321,736,.267,.322,.357,.679,88,0,0,0.00,,1.500,1,0,0,1.1,2,0,0,1,*6453/81
16,Luis Tiant,14th,63,12.2%,97,41,19,66.7,44.6,55.6,62.1,573,513,36,84,5,44,1,13,.164,.185,.224,.409,17,229,172,3.30,114,1.199,573,484,15,3486.1,3075,346,1104,2416,*1
17,Keith Hernandez,6th,41,8.0%,86,32,17,60.0,41.0,50.5,54.2,2088,7370,1124,2182,162,1071,98,1070,.296,.384,.436,.821,128,,,,,,,,,,,,,,*3/79
18,Dave Stewart,1st,38,7.4%,75,21,16,26.8,24.3,25.6,62.1,523,51,5,10,0,4,0,3,.196,.241,.255,.496,40,168,129,3.95,100,1.344,523,348,19,2629.2,2499,264,1034,1741,*1
