1,Ken Griffey,1st,437,99.3%,235,61,22,83.6,53.9,68.8,57.2,2671,9801,1662,2781,630,1836,184,1312,.284,.370,.538,.907,136,,,,,,,,,,,,,,*89D/73
2,Mike Piazza,4th,365,83.0%,207,62,16,59.4,43.1,51.2,43.1,1912,6911,1048,2127,427,1335,17,759,.308,.377,.545,.922,142,,,,,,,,,,,,,,*2D3
3,Jeff Bagwell,6th,315,71.6%,150,59,15,79.6,48.2,63.9,54.2,2150,7797,1517,2314,449,1529,202,1401,.297,.408,.540,.948,149,,,,,,,,,,,,,,*3/D9
4,Tim Raines,9th,307,69.8%,90,47,23,69.1,42.2,55.6,53.3,2502,8872,1571,2605,170,980,808,1330,.294,.385,.425,.810,123,,,,,,,,,,,,,,*78D4/9
5,Trevor Hoffman,1st,296,67.3%,159,19,18,28.4,19.6,24.0,34.4,1035,34,1,4,0,5,0,0,.118,.118,.176,.294,-22,61,75,2.87,141,1.058,1035,0,601,1089.1,846,100,307,1133,*1
6,Curt Schilling,4th,230,52.3%,171,46,20,79.9,49.0,64.5,62.1,571,773,39,117,0,29,1,25,.151,.178,.171,.348,-9,216,146,3.46,127,1.137,569,436,22,3261.0,2998,347,711,3116,*1
7,Roger Clemens,4th,199,45.2%,332,73,24,140.3,66.3,103.3,62.1,709,179,5,31,0,12,0,13,.173,.236,.207,.443,17,354,184,3.12,143,1.173,709,707,0,4916.2,4185,363,1580,4672,*1
8,Barry Bonds,4th,195,44.3%,340,76,22,162.4,72.7,117.6,53.3,2986,9847,2227,2935,762,1996,514,2558,.298,.444,.607,1.051,182,,,,,,,,,,,,,,*78D/9
9,Edgar Martinez,7th,191,43.4%,132,50,18,68.3,43.6,56.0,55.0,2055,7213,1219,2247,309,1261,49,1283,.312,.418,.515,.933,147,,,,,,,,,,,,,,*D*5/3
10,Mike Mussina,3rd,189,43.0%,121,54,18,83.0,44.5,63.8,62.1,537,52,3,9,0,5,0,1,.173,.189,.192,.381,1,270,153,3.68,123,1.192,537,536,0,3562.2,3460,376,785,2813,*1
11,Alan Trammell,15th,180,40.9%,118,40,20,70.4,44.6,57.5,54.7,2293,8288,1231,2365,185,1003,236,850,.285,.352,.415,.767,110,,,,,,,,,,,,,,*6D5/478
12,Lee Smith,14th,150,34.1%,127,13,18,29.6,21.1,25.4,34.4,1023,64,2,3,1,2,0,3,.047,.090,.094,.183,-50,71,92,3.03,132,1.256,1022,6,478,1289.1,1133,89,486,1251,*1
13,Fred McGriff,7th,92,20.9%,100,48,19,52.4,35.8,44.1,54.2,2460,8757,1349,2490,493,1550,72,1305,.284,.377,.509,.886,134,,,,,,,,,,,,,,*3D
